       TIC   RAJ2000   DEJ2000 class   varname       r   source
---------- --------- --------- ----- --------- ------- --------
   5637753  32.28243  26.48531    EW    BN Ari   0.222     GCVS
   5674169  33.03655  27.13840    EW             0.000 VilaNova
   5703872 143.36035 -39.36542    EA             0.000 VilaNova
   5953640  79.37980  20.13184    EA    CD Tau   0.049     GCVS
   5981829 193.68564 -21.31098    EB             0.000 VilaNova
   6400274 283.52063 -51.51599    EA             0.000 VilaNova
   6518047 112.88015  -6.73454    EA             0.000 VilaNova
   7211118 113.77771  -9.09570    EA             0.000 VilaNova
   7695666  65.64677 -41.48337    EA             0.000 VilaNova
   7724421  66.41136 -38.05948    EW             0.000 VilaNova
   7849727 275.40967  42.16880    EB             0.000 VilaNova
   7851729 275.25818  44.64519    EB             0.000 VilaNova
   7854182 275.54865  47.56888    EB             0.000 VilaNova
   8200343 156.96446  39.90125    EA             0.000 VilaNova
   8245065 157.36156  39.76899    EW             0.000 VilaNova
   8544992 247.33289  35.66744    EW V1187 Her   0.132     GCVS
   8624617 248.28187  33.52376    EB             0.000 VilaNova
   8669966 248.37135  30.49907    EB             0.000 VilaNova
   8673277 248.75815  33.21327    EW             0.000 VilaNova
   8677671 137.45251  30.42689    EB             0.000 VilaNova
   8766412 139.99100  30.95665    EB             0.000 VilaNova
   8769657 140.36812  33.43296    EA             0.000 VilaNova
   8895896  66.98939  56.56224    EA             0.000 VilaNova
   8989778 354.81736  -9.15146    EW             0.000 VilaNova
   9033144 349.60618 -19.82392    EA             0.000 VilaNova
   9036901 221.82263  31.84104    EA             0.000 VilaNova
   9054370 356.16190  -8.84879    EA             0.000 VilaNova
   9058724 222.12919  35.05502    EA             0.000 VilaNova
   9070070 356.82644  -8.08669    EW             0.000 VilaNova
   9146275 351.53590 -19.37322    EA    OV Aqr   0.071     GCVS
   9361438 150.60349  36.07384    EA             0.000 VilaNova
   9380768  73.26845  -7.00653    EA             0.000 VilaNova
   9381557  73.38130  -6.69580    EA             0.000 VilaNova
   9391285 167.61220  36.54549    EA             0.000 VilaNova
   9433212  73.54682  -9.49816    EA             0.000 VilaNova
   9473243 258.39736  30.71001    EA             0.000 VilaNova
   9727392 358.44473 -10.88497    EA             0.000 VilaNova
   9825731 260.93323  31.29858    EB             0.000 VilaNova
   9845586  48.21651  -7.73893    EW             0.000 VilaNova
   9945183  50.34417 -10.28503    EA             0.000 VilaNova
  10057647 133.33044  53.73581    EA             0.000 VilaNova
  10393493 267.73603  33.54583    EW             0.000 VilaNova
  10756751   9.22971  -5.87403    EB             0.000 VilaNova
  10838695  25.25293  -6.72617    EA             0.000 VilaNova
  10891640 297.76192  25.95429    EA             0.000 VilaNova
  11002748  56.20414  -3.07862    EB             0.000 VilaNova
  11113164 303.90890  36.79355    EB             0.000 VilaNova
  11119600 303.82321  37.52887    EA             0.000 VilaNova
  11145365 297.96981  27.41741    EW  V493 Vul   0.086     GCVS
  11437325  30.13862  60.00910    EA             0.000 VilaNova
  11480287 303.98656  37.50849    EB             0.000 VilaNova
  11480757 303.98310  37.45431    EW             0.000 VilaNova
  11487334  17.66713 -28.23127    EW             0.000 VilaNova
  11491822  96.60765  56.28510    EA             0.000 VilaNova
  11546041  19.00251 -25.70917    EW             0.000 VilaNova
  11598102  20.38732 -29.13131    EW             0.000 VilaNova
  11704852 304.11244  38.76135    EA             0.000 VilaNova
  11748495 129.00990 -34.21117    EA             0.000 VilaNova
  11756637  90.61487  -1.31694    EA             0.000 VilaNova
  11793277 304.17413  41.96272    EB             0.000 VilaNova
  11799872 102.05342  55.70448    EA             0.000 VilaNova
  11799874 102.05122  55.70419    EA             0.000 VilaNova
  11961096  91.14084  -3.19767    EA  V530 Ori   0.040     GCVS
  12029932 304.34902  36.12666    EB             0.000 VilaNova
  12158853  91.55601  -3.61893    EA             0.000 VilaNova
  12494582 304.53940  38.30776    EA             0.000 VilaNova
  12529950  51.68758  -9.34213    EA             0.000 VilaNova
  12672792 304.88510  38.73166    EA             0.000 VilaNova
  12673900 304.90348  38.58908    EB             0.000 VilaNova
  12675729 304.91145  38.33589    EA  V478 Cyg   0.028     GCVS
  12723924 336.74462 -17.42445    EA             0.000 VilaNova
  12790306 343.19082  60.91628    EB             0.000 VilaNova
  12824209  33.82741  65.48116    EA             0.000 VilaNova
  12862119   3.96921 -12.08015    EA             0.000 VilaNova
  12915124 304.98707  37.83536    EA             0.000 VilaNova
  13021029  75.29966 -26.05416    EA             0.000 VilaNova
  13037534 343.87592  64.00862    EA             0.000 VilaNova
  13062255  75.52273 -28.71268    EA             0.000 VilaNova
  13068361 348.14090 -24.26696    EW             0.000 VilaNova
  13070701  75.88998 -25.36549    EW             0.000 VilaNova
  13092260 348.92838 -27.17836    EA             0.000 VilaNova
  13135572  76.73736 -29.60247    EW             0.000 VilaNova
  13325340  78.63706 -25.32829    EA             0.000 VilaNova
  13345143  78.88019 -28.75059    EW             0.000 VilaNova
  13349647 131.58041  -8.02695    EA             0.000 VilaNova
  13351941  36.41714  61.54968    EA             0.000 VilaNova
  13389059 344.66581  63.07715    EA             0.000 VilaNova
  13684720 305.53802  36.06457    EA             0.000 VilaNova
  13840107  37.68879  63.05056    EA             0.000 VilaNova
  13957444  75.48781 -37.03952    EA             0.000 VilaNova
  13974582 305.73854  38.30683    EA             0.000 VilaNova
  14040050  38.14398  61.53866    EA             0.000 VilaNova
  14081980  76.62022 -40.91080    EA             0.000 VilaNova
  14157363  59.26587  23.17554    EB  V817 Tau   0.059     GCVS
  14207118 305.96254  38.49286    EB             0.000 VilaNova
  14307980 144.55623  -1.07449    EA             0.000 VilaNova
  14617089 306.31570  37.55497    EB             0.000 VilaNova
  14679411 174.24616 -28.82370    EA             0.000 VilaNova
  14709809 111.85072  15.65964    EA             0.000 VilaNova
  14842303 306.37764  37.42998    EB             0.000 VilaNova
  14844585 306.40969  37.05293    EA             0.000 VilaNova
  14948284 190.28234  30.43712    EA             0.000 VilaNova
  15445546 185.32702 -52.84259    EA             0.000 VilaNova
  15445551 185.32469 -52.84083    EA             0.000 VilaNova
  15613315  16.30170  27.76754    EA             0.000 VilaNova
  15795549 307.21186  39.15382    EA             0.000 VilaNova
  15858494  62.05416  19.94424    EA V1196 Tau   0.055     GCVS
  16479253 101.99432  36.45139    EA             0.000 VilaNova
  16485009 102.18658  39.30252    EB             0.000 VilaNova
  16617827 307.77188  38.78348    EW             0.000 VilaNova
  16700335 106.45602  41.25943    EA             0.000 VilaNova
  16703161 106.62272  37.59915    EA             0.000 VilaNova
  16728252 307.79394  41.53152    EA             0.000 VilaNova
  16740101 307.85981  39.93882    EA             0.000 VilaNova
  16805614 141.84921  39.51030    EA             0.000 VilaNova
  16805617 141.86821  39.50498    EA             0.000 VilaNova
  16805628 141.85777  39.42875    EA             0.000 VilaNova
  17005768  20.61057  26.92575    EA             0.000 VilaNova
  17206122 146.21206  41.26413    EA             0.000 VilaNova
  17299918 160.33315  38.25883    EA             0.000 VilaNova
  17448731 308.28652  41.22186    EA V2185 Cyg  20.708     GCVS
  17451194 308.29376  41.37289    EA             0.000 VilaNova
  17468122 242.78861  35.12883    EA             0.000 VilaNova
  17539192 243.42545  31.95189    EW             0.000 VilaNova
  17562290 243.74429  30.27658    EW             0.000 VilaNova
  17568668 244.22637  31.12261    EB    UX CrB   0.019     GCVS
  17858968 120.40499  38.74956    EA    CN Lyn   0.020     GCVS
  17885640 121.07108  38.77729    EA    EK Lyn   0.054     GCVS
  18028547 172.70797  41.28683    EA             0.000 VilaNova
  18225199  22.87405  28.06015    EA             0.000 VilaNova
  18269802 264.83583  35.70293    EW             0.000 VilaNova
  18271803 264.90336  32.94632    EB             0.000 VilaNova
  18281010  23.70517  29.58917    EA    RS Tri   0.017     GCVS
  18319090 265.33863  31.41535    EA             0.000 VilaNova
  18433724 265.97253  31.53009    EW             0.000 VilaNova
  18534775 266.30039  33.45256    EW             0.000 VilaNova
  18636142 266.86897  32.35754    EW             0.000 VilaNova
  18914916 118.92317  13.80591    EA             0.000 VilaNova
  18915591 118.91308  12.66904    EA             0.000 VilaNova
  19193162 123.79826  -6.31502    EA             0.000 VilaNova
  19271382 139.17891 -35.22444    EA             0.000 VilaNova
  20176492  89.76606 -39.45755    EA             0.000 VilaNova
  20212631 227.03806  39.97024    EW             0.000 VilaNova
  20239565 227.79221  38.95090    EA             0.000 VilaNova
  20299889 228.38555  38.56821    EA             0.000 VilaNova
  20427136 168.30207 -26.46507    EA    TT Hya   0.058     GCVS
  20660680 335.62005  29.37012    EW  V523 Peg   0.050     GCVS
  20876588  42.28408  44.25222    EA             0.000 VilaNova
  21126323 274.92433  50.17733    EA             0.000 VilaNova
  21184505 128.85269  12.01164    EA             0.000 VilaNova
  21319374  72.99725  46.71499    EA             0.000 VilaNova
  21371704 116.13461  36.69568    EB    CF Lyn   0.062     GCVS
  21442712  85.40655 -38.37360    EW             0.000 VilaNova
  21499327 148.76534  36.06372    EA             0.000 VilaNova
  21499609 148.94027  37.19510    EA             0.000 VilaNova
  21729403  88.26042 -40.31372    EW             0.000 VilaNova
  22017780 195.81837  36.61685    EW             0.000 VilaNova
  22120766 148.48817 -24.14696    EA             0.000 VilaNova
  22129510 269.52085  32.64806    EW  V972 Her   0.053     GCVS
  22146154 148.76340 -25.13310    EA             0.000 VilaNova
  22221233 148.98495 -24.05204    EB             0.000 VilaNova
  22390773 184.17897 -45.86747    EA             0.000 VilaNova
  22457438 186.88963 -18.60806    EW             0.000 VilaNova
  22538139 107.66498 -41.26510    EA             0.000 VilaNova
  22590328 107.67001  46.06217    EA             0.000 VilaNova
  22641187 108.13712 -36.09405    EA  V348 Pup   0.081     GCVS
  22766107 108.64331 -39.62784    EA             0.000 VilaNova
  22818693 203.78142  41.08417    EA             0.000 VilaNova
  22843856  39.00650  25.58853    EA             0.000 VilaNova
  23139612  46.33834  -6.33087    EW             0.000 VilaNova
  23221002  47.46977  -6.89264    EW             0.000 VilaNova
  23324827 167.38044 -31.67184    EA             0.000 VilaNova
  23328912 167.44706 -35.40432    EA             0.000 VilaNova
  23555025 169.03565 -32.65212    EA             0.000 VilaNova
  23753424 208.57853  40.76176    EW             0.000 VilaNova
  24004619 163.13646  45.77784    EA             0.000 VilaNova
  24077469 240.56476  37.17831    EA             0.000 VilaNova
  24133365 238.60999 -27.56100    EA             0.000 VilaNova
  24194061 238.64124 -29.15080    EB             0.000 VilaNova
  24397947  81.66280 -34.61647    EA             0.000 VilaNova
  24433067  82.00075 -33.57696    EA             0.000 VilaNova
  24522770  80.24782  -6.70461    EB             0.000 VilaNova
  24586751  83.71149 -30.42072    EB             0.000 VilaNova
  24606516  80.80237  -9.12843    EW             0.000 VilaNova
  24704862  25.31121 -67.67700    EA             0.000 VilaNova
  24733359 141.90997 -35.00738    EW             0.000 VilaNova
  24935204 350.41121  49.38675    EA             0.000 VilaNova
  24972851 142.71478 -32.57265    EA             0.000 VilaNova
  25078924  60.93091 -65.97288    EB             0.000 VilaNova
  25155310  63.37394 -69.22682    EA             0.000 VilaNova
  25156751 143.24381 -30.51201    EA             0.000 VilaNova
  25188036  98.02770  -7.31007    EA             0.000 VilaNova
  25195864  63.75356 -69.53667    EB             0.000 VilaNova
  25226885 326.95796 -20.23505    EA             0.000 VilaNova
  25375553 328.76768 -22.61258    EA             0.000 VilaNova
  25858367 276.25595 -30.75656    EA             0.000 VilaNova
  26102953 221.33443  -6.73448    EW    GR Vir   0.057     GCVS
  26273760 153.68792  -7.22599    EA             0.000 VilaNova
  26432264  56.67029  32.29019    EB             0.000 VilaNova
  26489741 291.69978  50.14549    EA             0.000 VilaNova
  26533207  57.38623  33.09137    EB             0.000 VilaNova
  26542657 291.90607  50.42391    EA             0.000 VilaNova
  26543048 291.95397  50.73698    EW             0.000 VilaNova
  26568753 354.82627  52.10735    EA             0.000 VilaNova
  26656583 292.57596  49.52571    EB             0.000 VilaNova
  26801525 355.50574  51.74356    EA             0.000 VilaNova
  26993764 356.23618  50.11104    EA             0.000 VilaNova
  27006880 293.82685  50.07652    EA             0.000 VilaNova
  27107017 152.70439  18.93817    EW    MQ Leo   0.287     GCVS
  27112021 200.06575  17.76583    EW             0.000 VilaNova
  27307817 294.74947  49.65557    EB             0.000 VilaNova
  27312189 294.86451  52.64745    EA             0.000 VilaNova
  27397122 295.21660  50.08436    EA             0.000 VilaNova
  27654882 123.70975  12.06044    EA             0.000 VilaNova
  27767184 296.00738  50.23260    EA             0.000 VilaNova
  27843942 296.44189  51.22430    EA             0.000 VilaNova
  27844498 296.49067  50.90586    EA             0.000 VilaNova
  27845677 296.46428  50.28606    EA             0.000 VilaNova
  27848472 278.63177  35.66152    EA  V838 Lyr   0.056     GCVS
  27915909 296.82588  48.44334    EA             0.000 VilaNova
  28051929  12.66662 -18.50592    EA             0.000 VilaNova
  28157482 209.98190  28.16128    EA             0.000 VilaNova
  28159019 297.31538  49.70606    EA             0.000 VilaNova
  28224552  28.08336  25.45547    EA             0.000 VilaNova
  28230919 297.70936  48.08086    EA             0.000 VilaNova
  28290956 224.05591  39.18981    EA             0.000 VilaNova
  28306907 297.83577  49.54581    EW             0.000 VilaNova
  28391714  30.14057  27.88867    EA             0.000 VilaNova
  28449295 298.27739  48.64081    EA             0.000 VilaNova
  28586609  68.06620  45.75221    EA             0.000 VilaNova
  29052041 132.63942 -46.52919    EA    KX Vel   0.027     GCVS
  29053989  50.88466  25.89940    EA             0.000 VilaNova
  29287800 237.63514  37.83543    EW    YY CrB   0.068     GCVS
  29326594 238.26777  36.31243    EW    BR CrB   0.071     GCVS
  29478974 314.08160 -26.58853    EA             0.000 VilaNova
  29777922  64.37626 -66.82733    EW             0.000 VilaNova
  29778064  64.35482 -66.40469    EB             0.000 VilaNova
  29847695  23.58079  -8.45808    EA             0.000 VilaNova
  29848012  23.56808  -7.41055    EW             0.000 VilaNova
  30028394  43.44757 -13.12898    EW             0.000 VilaNova
  30034081  73.02886 -70.73124    EA             0.000 VilaNova
  30122338 133.85017 -44.18737    EA             0.000 VilaNova
  30287190 207.60257 -31.23150    EA             0.000 VilaNova
  30313682  74.19063 -66.89093    EA             0.000 VilaNova
  30382918 198.43266 -41.27531    EA             0.000 VilaNova
  30540538 198.98514 -38.49047    EB             0.000 VilaNova
  30562668 134.28147 -43.25620    EA             0.000 VilaNova
  30714849 289.70917  33.60063    EA             0.000 VilaNova
  30816076 287.52293 -35.32270    EA             0.000 VilaNova
  30828562 134.71852 -43.45288    EA             0.000 VilaNova
  30914235 287.84123 -30.39538    EA             0.000 VilaNova
  30993392 201.07571 -37.28371    EA             0.000 VilaNova
  31054255  80.57571 -25.11978    EA             0.000 VilaNova
  31107108  76.36242 -67.72042    EB             0.000 VilaNova
  31118189  81.21511 -28.15328    EW             0.000 VilaNova
  31134762 212.55141 -25.40066    EA             0.000 VilaNova
  31207306 265.47924 -45.57096    EA  V881 Ara   0.058     GCVS
  31273263  88.10369 -68.15955    EA             0.000 VilaNova
  31303242  82.80689 -27.15118    EA             0.000 VilaNova
  31415131  88.90058 -70.21866    EB             0.000 VilaNova
  31653503  46.35103 -66.68425    EA             0.000 VilaNova
  31655792  46.57188 -68.20824    EW             0.000 VilaNova
  31690845 289.12920 -31.40786    EW             0.000 VilaNova
  31743416  48.99573 -67.51940    EA             0.000 VilaNova
  31796120  50.74253 -70.78867    EA             0.000 VilaNova
  31810287 136.65089 -47.06957    EA             0.000 VilaNova
  31850842  52.15355 -66.92017    EA             0.000 VilaNova
  31961007  54.95695 -68.40536    EA             0.000 VilaNova
  32000625  55.98796 -71.47905    EA             0.000 VilaNova
  32050581  57.07748 -69.15967    EA             0.000 VilaNova
  32150630  59.24415 -68.62613    EA             0.000 VilaNova
  32200310 332.44554 -27.06709    EW             0.000 VilaNova
  32268776  23.75420 -29.91037    EA             0.000 VilaNova
  32284829  24.29762 -34.98860    EB             0.000 VilaNova
  32449963 189.93837 -11.64712    EA             0.000 VilaNova
  32543789  84.57167 -27.52050    EW             0.000 VilaNova
  32551761  20.87599 -13.92422    EW             0.000 VilaNova
  32702481  86.03129 -28.61054    EA             0.000 VilaNova
  32759110  86.24139 -24.93603    EA             0.000 VilaNova
  32959497 252.93445 -30.97657    EA             0.000 VilaNova
  33194538 105.82620  -5.73765    EA             0.000 VilaNova
  33419790  87.40272 -21.23967    EA             0.000 VilaNova
  33521996  88.14682 -19.03166    EA             0.000 VilaNova
  33665328  30.10882 -29.77819    EA             0.000 VilaNova
  33689349  92.93097 -17.68343    EA             0.000 VilaNova
  33715938  61.01321 -74.45357    EA             0.000 VilaNova
  33742428  93.16171 -16.81011    EA             0.000 VilaNova
  33834253  63.72268 -73.36041    EA             0.000 VilaNova
  33862174  64.96109 -77.80587    EA             0.000 VilaNova
  33864821  65.64941 -72.10935    EA             0.000 VilaNova
  33912852 356.14223 -26.47627    EA             0.000 VilaNova
  34107676  59.55964  -7.75934    EW             0.000 VilaNova
  34145330  60.06034  -7.76665    EB             0.000 VilaNova
  34236395  61.40725 -10.21248    EA             0.000 VilaNova
  35009375 164.77485  -3.54405    EB             0.000 VilaNova
  35101462  35.41758 -14.78671    EA             0.000 VilaNova
  35349987 224.78050 -55.66373    EA             0.000 VilaNova
  35481236 101.96902 -16.71568    EA             0.000 VilaNova
  35635120 102.21509 -16.30103    EA    EQ CMa   0.022     GCVS
  35655828 148.74453 -45.29061    EA             0.000 VilaNova
  35743561  39.89671  -0.26227    EA             0.000 VilaNova
  35744583  39.85474  -5.21371    EA             0.000 VilaNova
  35744707  40.02548  -5.94323    EW             0.000 VilaNova
  35857242  41.63911  -0.46398    EA             0.000 VilaNova
  36352297 102.07989  -3.10214    EA             0.000 VilaNova
  36729364  40.42936  -6.36357    EW             0.000 VilaNova
  36734222 154.90837  -9.80628    EA             0.000 VilaNova
  36883123  43.39504  -9.20802    EW             0.000 VilaNova
  37435039 134.92801 -27.81630    EA             0.000 VilaNova
  37601240  93.15522 -25.26874    EB             0.000 VilaNova
  37606218  93.24857 -27.88039    EA             0.000 VilaNova
  37817410  65.41804  -6.01922    EA             0.000 VilaNova
  38215399 108.07720  36.12711    EA             0.000 VilaNova
  38423705  60.41273 -64.20222    EB             0.000 VilaNova
  38494096 255.34450 -32.62200    EA             0.000 VilaNova
  38541473  56.30457 -10.97338    EA             0.000 VilaNova
  38586438  64.09021 -62.01289    EA             0.000 VilaNova
  38588414  56.81509 -11.07509    EA             0.000 VilaNova
  38589392  56.76227  -7.07032    EB             0.000 VilaNova
  38677487  57.75224  -7.09862    EA             0.000 VilaNova
  38678931  65.28749 -61.90737    EA             0.000 VilaNova
  38686737  57.86568 -10.61407    EA             0.000 VilaNova
  38687360  57.97226 -10.53041    EB             0.000 VilaNova
  38699825  66.39755 -60.75691    EA             0.000 VilaNova
  38707340  66.45425 -60.51236    EW             0.000 VilaNova
  38846515  68.95971 -64.02704    EA             0.000 VilaNova
  38936062  10.00856 -68.24946    EA             0.000 VilaNova
  38937499  10.30020 -68.45787    EA             0.000 VilaNova
  39011225 118.16685  39.53831    EA             0.000 VilaNova
  39018208  12.08950 -66.16027    EA             0.000 VilaNova
  39046291  12.34616 -68.23049    EA             0.000 VilaNova
  39065113 139.11274  36.97926    EA             0.000 VilaNova
  39074957 139.71103  36.80258    EA             0.000 VilaNova
  39174351 183.70218  36.64704    EW             0.000 VilaNova
  39426509 262.51343  34.75260    EW V1498 Her   0.039     GCVS
  39576803 263.93105  30.64307    EA             0.000 VilaNova
  39643723 120.19148  42.17585    EA             0.000 VilaNova
  39818458  90.19054  -3.89567    EA             0.000 VilaNova
  39903672 245.19918  40.08920    EA             0.000 VilaNova
  40038743 300.16626  36.19746    EA             0.000 VilaNova
  40219040 300.43023  36.79104    EW             0.000 VilaNova
  40244907 301.01130  41.58791    EA             0.000 VilaNova
  40288117 293.20773  30.02138    EB             0.000 VilaNova
  40378419 301.06627  38.12875    EA             0.000 VilaNova
  40534599 174.67503 -15.31251    EW             0.000 VilaNova
  41169654  91.47729 -66.84354    EW    BF Dor   0.040     GCVS
  41170667  91.20031 -67.52301    EW             0.000 VilaNova
  41536849 301.82913  41.84789    EA             0.000 VilaNova
  41561453 228.13977 -55.31356    EB             0.000 VilaNova
  41591173  93.91447 -66.29226    EA             0.000 VilaNova
  41694016 231.58140  36.98151    EA    CV Boo   0.546     GCVS
  41865879  21.39020 -41.80960    EA             0.000 VilaNova
  41870248 285.74965  34.60237    EA             0.000 VilaNova
  41896812  21.44315 -39.93628    EA             0.000 VilaNova
  41998476 302.01642  40.72789    EA             0.000 VilaNova
  42244951 302.19072  37.23704    EA             0.000 VilaNova
  42705187 286.88494  30.25449    EA             0.000 VilaNova
  42828781  96.98869  -3.62547    EA             0.000 VilaNova
  42991745  97.08483  -0.72937    EA             0.000 VilaNova
  43273020 252.49982  41.37387    EA             0.000 VilaNova
  43398254  10.66862 -29.94396    EW             0.000 VilaNova
  43533897  75.39666  -8.64348    EB             0.000 VilaNova
  43647325  76.08180  -6.22983    EA             0.000 VilaNova
  43648757  76.14555  -9.22476    EA             0.000 VilaNova
  43712632  76.26972  -7.56192    EB             0.000 VilaNova
  43846099  77.81044  -8.55686    EW             0.000 VilaNova
  43864479  77.89214 -10.57326    EW             0.000 VilaNova
  44014899 266.07186  14.41007    EA  V624 Her   0.060     GCVS
  44104670 344.84803  32.85924    EA  V557 Peg   0.158     GCVS
  44560801   7.79116  35.38192    EA             0.000 VilaNova
  44623916 341.21980 -42.01266    EB             0.000 VilaNova
  44631957  22.16057  35.85744    EA             0.000 VilaNova
  44631965  22.23623  35.86481    EA             0.000 VilaNova
  44737596  60.94933 -25.40891    EA             0.000 VilaNova
  44790502  61.65311 -27.66876    EB             0.000 VilaNova
  44797681  62.45882 -25.32095    EW             0.000 VilaNova
  44890224  63.28866 -24.21794    EA             0.000 VilaNova
  44988465 146.86930 -37.72452    EA             0.000 VilaNova
  45599777 148.82615 -39.88304    EA             0.000 VilaNova
  45696212 131.17607 -54.70911    EA delta Vel   1.107     GCVS
  46313508  83.10433 -14.97156    EB             0.000 VilaNova
  46627823  85.18160 -17.54578    EA             0.000 VilaNova
  46908113 143.22949  -9.90251    EA             0.000 VilaNova
  47124392 144.94755 -10.57026    EA    OW Hya   0.063     GCVS
  47175622 145.35475  -7.65634    EA             0.000 VilaNova
  47309500 231.03536 -56.83743    EW             0.000 VilaNova
  47352608 162.62383  -2.69530    EW             0.000 VilaNova
  47380518 162.87365  -0.98955    EA             0.000 VilaNova
  47757785 279.98441  51.09280    EA             0.000 VilaNova
  47831368 221.57932 -35.69628    EW             0.000 VilaNova
  47911178  98.35111 -23.48619    EA             0.000 VilaNova
  48084398 281.87325  49.43202    EA             0.000 VilaNova
  48191564 282.67164  50.91329    EA             0.000 VilaNova
  48227278 222.91795 -30.88494    EA             0.000 VilaNova
  48227288 222.91787 -30.87828    EA             0.000 VilaNova
  48232997  99.17110 -22.61473    EA  V415 CMa   0.070     GCVS
  48318875 223.30064 -31.62934    EW             0.000 VilaNova
  48335665 148.44839 -34.57559    EB             0.000 VilaNova
  48346967 298.27659 -14.60319    EB  V505 Sgr   0.040     GCVS
  48356677 283.72284  51.30827    EA             0.000 VilaNova
  48372732 149.73600 -32.11326    EA             0.000 VilaNova
  48450535 284.76191  48.60988    EA             0.000 VilaNova
  48499902 284.75773  52.46814    EA             0.000 VilaNova
  48507019 285.21621  49.08946    EA             0.000 VilaNova
  48658291  96.92678 -25.83909    EA             0.000 VilaNova
  48880872 100.76432 -23.10248    EA             0.000 VilaNova
  49003142 164.12980 -34.56393    EA             0.000 VilaNova
  49175300 165.29525 -31.54684    EW             0.000 VilaNova
  49418981 173.58897  -5.52710    EA             0.000 VilaNova
  49534600 273.69390 -52.81873    EA             0.000 VilaNova
  49558810  36.53816 -36.37462    EA             0.000 VilaNova
  49677785 351.44925 -11.60990    EB             0.000 VilaNova
  49701947  95.79763 -27.72914    EA             0.000 VilaNova
  49735506 352.69016 -10.58660    EW             0.000 VilaNova
  49799894  47.23969  -2.86345    EW             0.000 VilaNova
  49899799  48.85426  -2.17528    EA             0.000 VilaNova
  50189810  40.01036  61.12899    EA             0.000 VilaNova
  50191648  40.05357  61.73304    EA             0.000 VilaNova
  50273697  30.08368 -74.33259    EW             0.000 VilaNova
  50380257  32.98018 -72.67891    EB             0.000 VilaNova
  50528312  81.93050  -3.99529    EA             0.000 VilaNova
  50717816 126.49829  -6.22888    EW  V614 Hya   0.031     GCVS
  50724937  82.82669  -5.70376    EA    EY Ori   0.072     GCVS
  50758245 126.82195  -6.40972    EA             0.000 VilaNova
  50849800  41.47843  65.72640    EB             0.000 VilaNova
  50894724 127.07949 -10.70783    EW  V483 Hya   0.038     GCVS
  50897998  83.38103  -1.15607    EB             0.000 VilaNova
  51104846 127.92256  -6.31877    EA             0.000 VilaNova
  51155192 109.17080  -5.41499    EA             0.000 VilaNova
  51325134 128.70422 -11.01438    EB             0.000 VilaNova
  51947865 138.75730 -20.12027    EA             0.000 VilaNova
  51955546  13.80937  61.39685    EA             0.000 VilaNova
  52040219  14.05702  65.12111    EA V1061 Cas   0.037     GCVS
  52079677  17.30396 -67.91896    EA             0.000 VilaNova
  52124859  40.65143  12.73550    EA    AL Ari   0.055     GCVS
  52368472  24.00370 -66.72657    EW             0.000 VilaNova
  52924466 102.38742 -33.70926    EA             0.000 VilaNova
